Vendor;Codec;Revisions and layouts;MinKernel;MaxKernel
AnalogDevices;AD1984;0x100400, layout 11;13 (10.9);—
AnalogDevices;AD1984A;0x100400, layout 11, 13, 44;13 (10.9);—
AnalogDevices;AD1988A;layout 12;13 (10.9);—
AnalogDevices;AD1988B;layout 5, 7, 12;13 (10.9);—
AnalogDevices;AD2000B;layout 5, 7;13 (10.9);—
Realtek;ALC1150;0x100001, layout 1, 2, 3, 5, 7, 99;12 (10.8);—
Realtek;ALC1220;0x100101, 0x100003, layout 1, 2, 3, 5, 7, 11, 13, 15, 16, 17, 20, 21, 25, 27, 28, 29, 30, 34, 35, 98, 99, 100;12 (10.8);—
Realtek;ALC215;0x100002, layout 18;13 (10.9);—
Realtek;ALC221;0x100003, 0x100103, layout 11, 15, 88;12 (10.8);—
Realtek;ALC222;0x100001, layout 11, 12;12 (10.8);—
Realtek;ALC225/ALC3253;layout 28, 30, 33, 90;13 (10.9);—
Realtek;ALC230;layout 13, 20;13 (10.9);—
Realtek;ALC233/ALC3236;0x100003, layout 3, 4, 5, 13, 21, 27, 28, 29, 32, 33;13 (10.9);—
Realtek;ALC235;layout 3, 8, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 28, 29, 33, 35, 36, 37, 72, 88, 99;13 (10.9);—
Realtek;ALC236;0x100001, 0x100002, layout 3, 11, 12, 13, 14, 15, 16, 17, 18, 23, 36, 54, 55, 99;13 (10.9);—
Realtek;ALC245;layout 11, 12, 13;13 (10.9);—
Realtek;ALC255/ALC3234;layout 3, 11, 12, 13, 15, 17, 18, 20, 21, 22, 23, 27, 28, 29, 30, 31, 37, 66, 69, 71, 82, 86, 96, 99, 100, 255;13 (10.9);—
Realtek;ALC256/ALC3246;0x100002, layout 5, 11, 12, 13, 14, 16, 17, 19, 20, 21, 22, 23, 24, 28, 33, 56, 57, 66, 67, 68, 69, 70, 76, 77, 88, 95, 97, 99;13 (10.9);—
Realtek;ALC257;0x100001, layout 11, 18, 86, 96, 97, 99, 100;13 (10.9);—
Realtek;ALC260;layout 11, 12;13 (10.9);—
Realtek;ALC262;0x100100, 0x100302, 0x100202, layout 7, 11, 12, 13, 28, 66;12 (10.8);—
Realtek;ALC268;layout 3, 11;9 (10.5);—
Realtek;ALC269/ALC271X;0x100203, 0x100004, 0x100202, 0x100100, layout 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 39, 40, 44, 45, 47, 55, 58, 66, 69, 76, 77, 88, 91, 93, 99, 100, 111, 127, 128, 188;12 (10.8);—
Realtek;ALC270;0x100100, layout 3, 4, 21, 27, 28;13 (10.9);—
Realtek;ALC272;0x100001, 0x100002, layout 3, 12, 18, 21;13 (10.9);—
Realtek;ALC274;0x100004, layout 21, 28, 35, 39;13 (10.9);—
Realtek;ALC275;0x100008, 0x100005, layout 3, 13, 28;13 (10.9);—
