Agena;Phenom X4
;
;
Applebred;Duron
Argon;Athlon
Barcelona;Third Generation Opteron
Barton;Athlon MP
;Athlon XP
;Athlon XP-M
;Sempron
Beema;A4-Series for Notebooks
;A6-Series for Notebooks
;A8-Series for Notebooks
;E1-Series
;E2-Series
Berlin;
Bristol Ridge;A6-Series
;A8-Series
;A10-Series
;A10-Series for Notebooks
;A12-Series
;A12-Series for Notebooks
;Athlon X4
;FX-Series for Notebooks
Budapest;Third Generation Opteron
;
Callisto;Phenom II X2
;
Carrizo;A6-Series for Notebooks
;A8-Series for Notebooks
;A10-Series for Notebooks
;Athlon X4
;FX-Series for Notebooks
Carrizo-L;A4-Series for Notebooks
;A6-Series for Notebooks
;A8-Series for Notebooks
;E1-Series for Notebooks
;E2-Series for Notebooks
Champlain;Athlon II Dual-Core Mobile
;Phenom II Dual-Core Mobile
;Phenom II Quad-Core Mobile
;Phenom II Triple-Core Mobile
;Sempron Mobile
;Turion II Dual-Core Mobile
;V Series for Notebook PCs
Deneb;Phenom II X4
;Phenom II XLT
Geneva;Athlon II Neo
;Athlon II Neo Dual-Core Mobile
;Athlon II Neo Mobile
;Turion II Neo
;Turion II Neo Dual-Core Mobile
;V Series for Notebook PCs
Godavari;A6-Series
;A8-Series
;A10-Series
;Athlon X4
Heka;Phenom II X3
;
Istanbul;Six-Core Opteron
Kabini;A4-Series for Notebooks
;A6-Series for Notebooks
;Athlon
;E1-Series
;E2-Series
;Sempron
Kaveri;A4-Series
;A6-Series
;A6-Series for Notebooks
;A8-Series
;A8-Series for Notebooks
;A10-Series
;A10-Series for Notebooks
;Athlon X2
;Athlon X4
;FX-Series
;FX-Series for Notebooks
Kuma;Athlon X2
Llano;A4-Series
;A4-Series for Notebooks
;A6-Series
;A6-Series for Notebooks
;A8-Series
;A8-Series for Notebooks
;Athlon II X2
;Athlon II X4
;E2-Series
;E2-Series for Notebooks
;Sempron X2
Morgan;Duron
Ontario;C-Series
;G-Series
Orion;Athlon
Palomino;Athlon
;Athlon MP
;Athlon XP
;Mobile Athlon 4
Pluto;Athlon
Propus;Athlon II X4
;Phenom II X4
Rana;Athlon II X3
Raphael;Ryzen 5
;Ryzen 7
;Ryzen 9
;
Regor;Athlon II X2
;Athlon II XLT
;Athlon X2
;Phenom II X2
;Sempron X2
Rembrandt;Ryzen 5 Mobile
;Ryzen 5 PRO Mobile
;Ryzen 7 Mobile
;Ryzen 7 PRO Mobile
;Ryzen 9 Mobile
;Ryzen 9 PRO Mobile
Richland;A4-Series
;A4-Series for Notebooks
;A6-Series
;A6-Series for Notebooks
;A8-Series
;A8-Series for Notebooks
;A10-Series
;A10-Series for Notebooks
;Athlon X2
;Athlon X4
;FX-Series
;Sempron X2
Sargas;Athlon II
;Sempron
Shanghai;Third Generation Opteron
;
;
Spitfire;Duron
Stoney Ridge;A4-Series for Notebooks
;A6-Series for Notebooks
;A9-Series for Notebooks
;E2-Series for Notebooks
Suzuka;Third Generation Opteron
Temash;A4-Series for Tablets
;A6-Series for Tablets
Thoroughbred;Athlon MP
;Athlon XP
;Athlon XP-M
;Geode NX
;Sempron
Thorton;Athlon XP
;Sempron
;
Thuban;Phenom II X6
Thunderbird;Athlon
;
Toliman;Phenom X3
Trinity;A4-Series
;A4-Series for Notebooks
;A6-Series
;A6-Series for Notebooks
;A8-Series
;A8-Series for Notebooks
;A10-Series
;A10-Series for Notebooks
;Athlon X2
;Athlon X4
;FirePro
;Sempron X2
Warsaw;Opteron 6300 series
;
Zacate;E-Series
;E1-Series
;E2-Series
Zambezi;FX-Series
;
;
Zosma;Athlon II X4
;Phenom II X4
