Processor;Model;Cores 1;Cores 2;Threads;Integrated graphics;CodeName
Core i9;13900K;8;16;32;UHD 770;Raptor Lake
Core i9;13900KF;8;16;32;—;Raptor Lake
Core i9;13900;8;16;32;UHD 770;Raptor Lake
Core i9;13900F;8;16;32;—;Raptor Lake
Core i9;13900T;8;16;32;UHD 770;Raptor Lake
Core i7;13700K;8;8;24;UHD 771;Raptor Lake
Core i7;13700KF;8;8;24;—;Raptor Lake
Core i7;13700;8;8;24;UHD 770;Raptor Lake
Core i7;13700F;8;8;24;—;Raptor Lake
Core i7;13700T;8;8;24;UHD 770;Raptor Lake
Core i5;13600K;6;8;20;UHD 770;Raptor Lake
Core i5;13600KF;6;8;20;—;Raptor Lake
Core i5;13600;6;8;20;UHD 770;Raptor Lake
Core i5;13600T;6;8;20;UHD 771;Raptor Lake
Core i5;13500;6;8;20;UHD 772;Raptor Lake
Core i5;13500T;6;8;20;UHD 773;Raptor Lake
Core i5;13400;6;4;16;UHD 730;Raptor Lake
Core i5;13400F;6;4;16;—;Raptor Lake
Core i5;13400T;6;4;16;UHD 730;Raptor Lake
Core i3;13100;4;—;8;UHD 731;Raptor Lake
Core i3;13100F;4;—;8;—;Raptor Lake
Core i3;13100T;4;—;8;UHD 730;Raptor Lake
;;;;;;
Core i9;12900K;8;8;24;UHD 770;Alder Lake
Core i9;12900KF;8;8;24;—;Alder Lake
Core i9;12900KS;8;8;24;UHD 770;Alder Lake
Core i9;12900;8;8;24;UHD 771;Alder Lake
Core i9;12900F;8;8;24;—;Alder Lake
Core i9;12900T;8;8;24;UHD 770;Alder Lake
Core i7;12700K;8;4;20;UHD 771;Alder Lake
Core i7;12700KF;8;4;20;—;Alder Lake
Core i7;12700;8;4;20;UHD 770;Alder Lake
Core i7;12700F;8;4;20;—;Alder Lake
Core i7;12700T;8;4;20;UHD 770;Alder Lake
Core i5;12600K;6;4;16;UHD 771;Alder Lake
Core i5;12600KF;6;4;16;—;Alder Lake
Core i5;12600;6;—;12;UHD 770;Alder Lake
Core i5;12600T;6;—;12;UHD 771;Alder Lake
Core i5;12500;6;—;12;UHD 772;Alder Lake
Core i5;12500T;6;—;12;UHD 773;Alder Lake
Core i5;12400;6;—;12;UHD 730;Alder Lake
Core i5;12400F;6;—;12;—;Alder Lake
Core i5;12400T;6;—;12;UHD 730;Alder Lake
Core i3;12300;4;—;8;UHD 731;Alder Lake
Core i3;12300T;4;—;8;UHD 732;Alder Lake
Core i3;12100;4;—;8;UHD 733;Alder Lake
Core i3;12100F;4;—;8;—;Alder Lake
Core i3;12100T;4;—;8;UHD 730;Alder Lake
Pentium;G7400;2;—;4;UHD 710;Alder Lake
